wavelength,intensity1,intensity2,intensity3
458.456,1752.852,1712.974,1664.258
458.63,1616.643,1604.154,1619.05
458.804,1707.573,1663.22,1663.751
458.977,1645.768,1613.58,1530.582
459.151,1624.826,1598.481,1581.044
459.325,1631.61,1623.202,1616.013
459.498,1573.99,1621.972,1605.602
459.672,1537.18,1577.021,1573.721
459.845,1610.272,1510.375,1551.727
460.019,1527.955,1578.722,1578.589
460.193,1533.523,1564.887,1603.245
460.366,1576.614,1514.848,1544.61
460.54,1516.53,1584.637,1538.628
460.714,1499.097,1500.279,1501.399
460.887,1497.918,1494.097,1512.733
461.061,1500.684,1490.791,1502.332
461.235,1546.828,1560.546,1497.127
461.408,1477.507,1479.299,1526.278
461.582,1477.894,1390.213,1447.678
461.755,1524.426,1509.392,1491.179
461.929,1551.623,1468.6,1575.669
462.103,1499.432,1463.894,1520.393
462.276,1424.883,1499.977,1452.474
462.45,1502.815,1461.938,1484.687
462.624,1427.749,1508.791,1417.888
462.797,1453.654,1478.127,1446.533
462.971,1398.823,1407.979,1417.689
463.144,1452.888,1477.591,1499.135
463.318,1372.691,1424.322,1450.658
463.492,1398.673,1458.4,1364.312
463.665,1420.59,1435.048,1448.236
463.839,1313.237,1364.801,1337.661
464.013,1397.203,1403.713,1433.474
464.186,1371.89,1402.223,1426.911
464.36,1375.572,1355.715,1362.389
464.533,1371.003,1371.559,1334.584
464.707,1385.122,1300.84,1273.252
464.881,1339.472,1306.251,1281.564
465.054,1314.16,1337.599,1291.067
465.228,1305.915,1328.706,1300.311
465.401,1195.699,1325.669,1302.878
465.575,1180.586,1233.797,1181.583
465.749,1198.619,1236.386,1269.288
465.922,1255.044,1214.736,1151.879
466.096,1230.263,1268.623,1255.89
466.27,1256.283,1233.832,1225.462
466.443,1140.821,1123.816,1113.763
466.617,1151.32,1184.787,1182.9
466.79,1100.82,1117.946,1152.205
466.964,1166.451,1193.521,1189.269
467.138,1089.623,1157.74,1077.983
467.311,1096.462,1185.414,1100.375
467.485,1142.632,1093.202,1006.264
467.658,1049.756,1148.951,1039.877
467.832,1082.69,1078.135,1080.827
468.006,1005.659,1024.422,993.304
468.179,1009.105,967.263,1003.433
468.353,1000.902,1022.288,1019.913
468.526,1066.279,1017.591,975.631
468.7,918.67,955.132,947.823
468.874,1009.476,921.283,956.531
469.047,873.718,874.767,940.101
469.221,917.571,948.432,941.006
469.394,933.696,936.986,929.053
469.568,903.284,952.225,830.701
469.742,906.1,906.04,935.609
469.915,847.872,864.631,823.829
470.089,931.474,894.399,892.653
470.262,855.949,887.12,847.164
470.436,788.583,778.889,786.272
470.609,820.144,837.758,808.193
470.783,813.023,897.586,837.106
470.957,757.911,741.502,749.832
471.13,777.114,772.213,778.02
471.304,783.773,748.172,788.909
471.477,817.531,792.476,823.744
471.651,776.406,772.011,816.338
471.825,709.886,700.358,728.662
471.998,707.262,776.621,758.494
472.172,704.184,726.426,699.237
472.345,745.243,740.462,733.53
472.519,756.94,710.921,748.32
472.692,741.046,709.808,728.195
472.866,697.536,736.794,739.272
473.04,695.83,773.657,730.163
473.213,680.972,696.767,698.195
473.387,682.585,687.76,638.994
473.56,682.467,691.8,722.469
473.734,695.963,675.925,649.687
473.907,662.5,638.754,608.406
474.081,711.493,705.712,615.047
474.255,633.108,636.576,670.698
474.428,669.958,687.92,648.172
474.602,658.483,669.341,654.16
474.775,597.018,626.293,648.944
474.949,646.645,614.009,627.139
475.122,707.72,641.647,660.623
475.296,657.835,657.78,627.471
475.47,581.488,584.47,587.908
475.643,633.355,664.011,686.939
475.817,717.533,673.59,669.45
475.99,635.659,617.006,631.981
476.164,678.867,623.765,659.368
476.337,604.999,626.782,601.367
476.511,639.397,643.771,670.724
476.684,627.674,596.001,636.411
476.858,604.932,658.827,634.246
477.032,665.971,595.304,693.661
477.205,687.46,639.673,624.144
477.379,655.34,637.594,647.321
477.552,653.658,619.462,665.697
477.726,625.204,622.709,621.63
477.899,609.753,650.064,579.571
478.073,638.249,624.451,601.77
478.246,594.246,585.882,620.979
478.42,598.193,632.568,641.195
478.594,648.833,596.475,619.201
478.767,584.731,654.799,625.766
478.941,645.948,646.372,665.802
479.114,614.556,638.275,664.798
479.288,644.495,629.97,645.79
479.461,655.332,653.826,617.879
479.635,628.13,649.767,664.285
479.808,602.625,625.025,625.395
479.982,668.102,644.685,638.387
480.155,649.851,608.126,688.06
480.329,671.201,636.835,639.118
480.503,607.464,579.393,632.534
480.676,591.956,605.575,639.417
480.85,611.36,616.965,628.651
481.023,609.722,607.796,649.883
481.197,607.207,648.502,583.633
481.37,631.708,676.52,635.766
481.544,573.311,617.128,572.703
481.717,662.257,652.323,663.049
481.891,717.952,687.335,702.755
482.064,661.268,625.345,658.363
482.238,586.419,608.751,651.137
482.411,611.282,633.747,606.082
482.585,565.775,607.619,645.775
482.758,666.241,638.535,635.72
482.932,587.827,613.715,619.991
483.106,592.094,607.809,640.145
483.279,647.003,608.041,635.232
483.453,625.283,607.579,562.462
483.626,648.242,666.477,645.87
483.8,606.583,661.96,601.565
483.973,561.312,632.234,612.625
484.147,649.491,619.135,665.164
484.32,641.977,648.089,592.117
484.494,599.169,639.817,656.353
484.667,687.236,666.435,649.051
484.841,654.273,646.911,623.587
485.014,579.079,627.469,642.382
485.188,617.223,634.357,645.864
485.361,624.432,629.965,665.926
485.535,621.563,606.7,673.498
485.708,663.107,663.926,680.285
485.882,657.205,627.249,659.177
486.055,586,638.628,643.597
486.229,647.642,609.111,643.327
486.402,664.081,662.784,654.351
486.576,621.276,627.481,646.561
486.749,608.503,661.348,634.191
486.923,669.609,665.781,677.041
487.096,639.266,645.744,673.379
487.27,619.614,625.287,657.873
487.443,642.633,630.442,664.371
487.617,657.228,652.33,614.628
487.79,684.255,667.017,690.266
487.964,669.048,672.653,654.725
488.137,647.416,641.4,697.064
488.311,623.564,660.97,674.034
488.484,691.21,695.922,691.877
488.658,637.57,677.305,660.516
488.831,703.213,690.575,677.504
489.005,653.487,640.055,691.561
489.178,703.841,711.697,686.337
489.352,702.608,691.165,696.193
489.525,669.55,715.288,689.773
489.699,698.917,689.803,712.595
489.872,674.651,691.007,701.858
490.046,710.421,702.51,660.334
490.219,761.361,744.834,719.241
490.393,678.319,693.349,725.732
490.566,711.447,673.271,696.687
490.74,747.934,715.486,758.228
490.913,726.871,803.001,742.061
491.087,700.666,728.853,772.259
491.26,751.161,716.129,699.314
491.434,741.193,746.877,738.019
491.607,773.978,816.552,779.139
491.781,753.561,751.216,774.166
491.954,756.646,771.523,758.437
492.128,784.592,774.409,764.564
492.301,777.198,763.49,787.328
492.475,788.024,823.928,805.111
492.648,792.844,762.876,804.696
492.822,774.157,807.845,811.514
492.995,741.748,783.355,754.899
493.169,791.599,812.116,792.228
493.342,753.894,821.255,828.253
493.515,856.821,835.728,847.101
493.689,820.949,794.611,791.57
493.862,826.295,824.779,863.817
494.036,808.437,785.036,813.797
494.209,800.721,806.563,817.516
494.383,838.242,787.554,808.248
494.556,867.589,878.135,864.553
494.73,807.033,807.358,829.206
494.903,844.334,821.8,830.942
495.077,846.146,847.548,859.368
495.25,878.115,869.337,855.062
495.424,847.573,845.355,878.674
495.597,862.33,851.816,881.36
495.771,866.077,851.569,847.152
495.944,874.89,861.884,867.572
496.118,875.399,878.56,871.731
496.291,885.657,852.563,888.448
496.464,860.683,877.249,878.979
496.638,940.03,900.253,853.7
496.811,875.968,898.827,909.486
496.985,952.169,926.737,972.441
497.158,911.153,924.315,922.457
497.332,913.681,911.516,923.847
497.505,931.983,918.126,936.831
497.679,968.512,976.594,948.277
497.852,928.708,912.805,918.02
498.026,953.053,915.064,932.56
498.199,989.599,968.554,936.269
498.372,973.219,994.585,947.844
498.546,910.11,978.645,910.348
498.719,979.616,982.363,980.202
498.893,917.006,955.949,954.832
499.066,1021.912,946.494,990.336
499.24,961.547,1005.477,991.322
499.413,1004.912,981.886,992.451
499.587,958.635,978.666,972.813
499.76,1028.683,1029.67,1054.855
499.933,965.529,1021.333,999.811
500.107,979.87,1016.254,1006.312
500.28,1054.141,993.912,1021.047
500.454,1030.813,1029.076,988.555
500.627,1011.79,1019.493,1024.134
500.801,1085.089,1004.721,1056.849
500.974,1037.042,1061.613,1093.798
501.148,1046.334,1035.284,1055.574
501.321,1057.423,1073.927,1079.481
501.494,1082.221,1040.243,1053.054
501.668,1033.176,1045.359,1089.872
501.841,1069.449,1099.506,1088.402
502.015,1097.077,1107.198,1044.551
502.188,1111.151,1052.858,1105.451
502.362,1087.45,1087.415,1064.417
502.535,1089.357,1084.44,1086.325
502.708,1108.707,1119.403,1085.839
502.882,1113.796,1117.704,1085.431
503.055,1102.266,1101.582,1098.271
503.229,1100.326,1153.829,1127.804
503.402,1175.383,1132.122,1116.686
503.576,1172.509,1159.973,1115.03
503.749,1155.223,1151.979,1104.417
