wavelength,intensity1,intensity2,intensity3
433.964,555.235,603.224,636.637
434.137,596.726,528.886,561.407
434.311,722.141,626.735,730.948
434.485,597.822,657.143,659.774
434.659,595.952,564.898,683.6
434.832,690.555,660.929,638.104
435.006,637.392,661.222,678.263
435.18,641.079,602.639,772.246
435.354,693.221,752.659,618.913
435.527,723.108,730.765,796.08
435.701,670.189,707.356,696.113
435.875,749.391,820.85,832.056
436.049,726.945,711.991,705.551
436.223,724.051,678.941,650.629
436.396,776.115,903.599,868.295
436.57,748.983,783.052,795.888
436.744,823.641,918.273,864.049
436.918,803,801.436,838.082
437.091,839.83,787.735,804.736
437.265,794.71,800.364,822.621
437.439,815.199,863.208,858.443
437.613,878.18,940.013,934.408
437.786,871.102,953.284,902.363
437.96,974.076,980.043,987.436
438.134,865.766,929.16,963.664
438.308,953.783,892.197,961.719
438.481,973.533,932.317,896.723
438.655,967.255,1078.068,1013.852
438.829,987.079,943.208,1000.417
439.002,920.341,971.671,946.796
439.176,933.031,998.178,940.141
439.35,985.501,878.931,988.878
439.524,983.518,1051.318,1057.289
439.697,1112.857,1130.737,1097.001
439.871,1102.869,1116.385,1086.379
440.045,1102.502,1126.639,1090.656
440.219,1036.978,1113.2,1063.532
440.392,1114.131,1129.644,1084.558
440.566,1080.635,1139.315,1171.254
440.74,1085.199,1206.35,1194.435
440.914,1034.94,1091.716,1112.86
441.087,1072.806,1101.237,1111.268
441.261,1073.645,1205.842,1194.283
441.435,1144.332,1216.806,1207.824
441.609,1241.207,1267.943,1218.95
441.782,1175.399,1291.899,1239.191
441.956,1332.033,1255.216,1253.475
442.13,1247.401,1263.171,1349.621
442.303,1192.76,1333.305,1286.924
442.477,1389.902,1396.118,1510.022
442.651,1238.727,1346.54,1387.823
442.825,1317.617,1276.267,1425.2
442.998,1342.961,1457.085,1406.048
443.172,1378.497,1509.387,1499.067
443.346,1492.942,1594.768,1573.138
443.52,1549.747,1608.823,1614.545
443.693,1507.6,1579.989,1622.947
443.867,1510.214,1553.21,1497.396
444.041,1583.096,1620.228,1631.546
444.214,1596.252,1587.68,1625.187
444.388,1621.936,1719.392,1711.271
444.562,1620.73,1741.939,1691.587
444.736,1652.01,1659.851,1641.437
444.909,1780.99,1718.713,1819.551
445.083,1671.051,1693.131,1675.655
445.257,1524.042,1717.484,1656.484
445.43,1767.473,1871.236,1918.928
445.604,1655.601,1683.596,1736.736
445.778,1852.995,1895.467,1912.048
445.952,1737.637,1800.563,1853.937
446.125,1726.866,1909.102,1993.894
446.299,1847.24,1914.481,1945.142
446.473,1804.32,1840.499,1828.371
446.646,1801.838,1931.167,1989.421
446.82,1911.406,1913.92,1986.875
446.994,1921.616,1856.292,2052.801
447.167,1960.702,2126.793,2052.764
447.341,2044.49,2052.424,2083.851
447.515,1999.719,2088.226,2088.079
447.689,1984.834,2057.372,2117.487
447.862,1954.094,2100.055,2193.333
448.036,2034.726,2138.063,2031.84
448.21,1867.594,2009.781,2116.663
448.383,2019.135,2094.679,2070.169
448.557,1953.581,2003.489,2084.728
448.731,2031.708,2034.111,2133.68
448.904,2043.57,2105.406,2124.564
449.078,2030.68,2153.951,2166.335
449.252,2023.45,2094.35,2048.518
449.426,2083.399,2129.681,2131.046
449.599,2140.795,2187.98,2237.778
449.773,2067.056,2109.252,2141.512
449.947,2070.718,2125.516,2079.531
450.12,1951.518,1984.577,1975.158
450.294,1987.54,2037.065,2117.594
450.468,1900.846,1936.696,1968.78
450.641,1953.364,2093.034,2010.363
450.815,2038.528,2080.926,2014.932
450.989,1972.107,2026.855,1995.767
451.162,1878.092,2062.566,1959.1
451.336,1809.482,1826.952,1902.081
451.51,1783.702,1859.66,1938.054
451.683,1834.381,1851.403,1892.594
451.857,1791.862,1879.689,1984.821
452.031,1839.313,1884.121,1906.279
452.204,1873.304,1984.07,1897.227
452.378,1751.011,1768.709,1858.809
452.552,1824.979,1837.529,1735.108
452.725,1623.963,1802.125,1696.051
452.899,1644.595,1790.185,1697.036
453.073,1672.62,1723.111,1698.536
453.246,1660.074,1735.218,1678.531
453.42,1589.993,1666.739,1697.499
453.594,1493.988,1643.413,1625.808
453.768,1593.159,1616.679,1718.244
453.941,1577.574,1632.738,1691.731
454.115,1494.484,1497.446,1534.508
454.289,1398.632,1524.404,1490.466
454.462,1437.756,1486.879,1483.992
454.636,1414.254,1575.949,1481.673
454.81,1447.202,1464.514,1478.068
454.983,1365.828,1473.283,1528.861
455.157,1349.465,1400.408,1422.688
455.331,1270.681,1279.416,1364.656
455.504,1349.277,1329.494,1360.674
455.678,1351.492,1283.811,1447.458
455.851,1294.195,1288.331,1346.175
456.025,1258.376,1232.873,1292.719
456.199,1199.7,1271.237,1378.444
456.372,1240.571,1208.711,1211.923
456.546,1278.796,1266.799,1327.678
456.72,1229.054,1310.937,1222.432
456.893,1158.972,1242.563,1258.321
457.067,1184.398,1188.618,1267.523
457.241,1173.93,1195.069,1278.684
457.414,1207.657,1250.382,1288.129
457.588,1154.819,1139.683,1154.893
457.762,1076.894,1148.528,1130.22
457.935,1154.367,1250.214,1196.201
458.109,1085.331,1172.241,1196.125
458.283,1135.736,1135.282,1168.986
458.456,1099.302,1166.971,1129.061
458.63,1071.763,1156.923,1139.805
458.804,1052.956,1140.377,1183.858
458.977,1033.784,1106.564,1152.691
459.151,1008.499,1166.986,1073.297
459.325,1059.649,1084.857,1027.648
459.498,1069.621,1129.558,1119.044
459.672,1019.798,1065.6,1143.399
459.845,1102.249,1094.018,1032.312
460.019,1059.813,1079.068,1023.662
460.193,1062.83,1142.572,1119.355
460.366,1004.352,1101.859,1050.854
460.54,1054.77,1082.997,1127.476
460.714,1106.136,1053.822,1054.327
460.887,1037.067,1089.801,1151.611
461.061,1006.455,1044.104,1053.813
461.235,1023.156,1050.289,1120.977
461.408,1061.152,1011.752,1033.947
461.582,956.67,1046.92,1023.521
461.755,1021.994,1066.457,1092.528
461.929,1024.092,1130.848,1093.716
462.103,1032.892,1153.804,1090.211
462.276,999.351,1062.704,1081.531
462.45,987.306,975.744,1028.184
462.624,1079.021,1020.633,1088.104
462.797,1000.76,1043.74,1049.913
462.971,977.186,1029.022,1016.607
463.144,966.344,982.631,1056.202
463.318,910.661,1036.399,979.044
463.492,895.485,965.834,979.14
463.665,966.875,1037.259,1037.748
463.839,927.391,941.98,989.292
464.013,970.011,983.938,975.456
464.186,936.527,965.254,1002.981
464.36,962.622,918.898,939.807
464.533,1014.596,1062.87,1003.424
464.707,983.749,900.938,939.267
464.881,960.21,961.623,901.95
465.054,935.241,1026.429,899.748
465.228,908.5,953.192,978.339
465.401,913.728,910.329,1002.075
465.575,865.252,903.315,892.546
465.749,928.562,950.362,949.046
465.922,882.362,847.031,912.61
466.096,865.995,967.643,915.894
466.27,828.154,914.934,894.201
466.443,786.38,840.303,809.812
466.617,862.057,842.234,918.596
466.79,842.532,880.649,918.475
466.964,849.856,930.847,864.668
467.138,761.496,844.744,779.893
467.311,770.434,801.063,807.978
467.485,768.279,814.413,848.351
467.658,785.804,825.336,804.691
467.832,758.12,817.28,803.127
468.006,725.133,747.445,744.017
468.179,740.977,765.332,745.985
468.353,710.959,804.82,705.941
468.526,676.861,791.248,746.471
468.7,670.363,676.617,703.626
468.874,706.505,712.288,736.88
469.047,676.975,709.867,658.732
469.221,712.524,764.417,695.157
469.394,641.292,685.568,710.586
469.568,623.051,682.56,663.944
469.742,668.791,712.932,685.343
469.915,667.369,697.913,632.707
470.089,625.164,677.041,712.319
470.262,622.961,688.274,654.25
470.436,564.423,623.473,625.512
470.609,637.686,635.17,597.581
470.783,647.706,623.075,661.24
470.957,543.913,593.126,590.387
471.13,572.258,594.481,641.192
471.304,608.861,612.734,589.291
471.477,567.72,600.854,586.925
471.651,574.957,583.792,615.663
471.825,541.131,576.018,568.024
471.998,553.744,559.202,572.348
472.172,554.078,549.99,564.755
472.345,567.482,556.094,577.511
472.519,546.3,602.987,626.66
472.692,500.732,504.591,584.292
472.866,523.875,522.479,617.043
473.04,533.941,578.006,597.769
473.213,510.343,600.487,543.634
473.387,516.358,581.915,563.503
473.56,569.417,526.799,526.699
473.734,496.285,557.924,534.257
473.907,485.215,516.619,540.213
474.081,525.845,529.645,538.393
474.255,472.689,539.28,533.144
474.428,473.444,501.914,560.505
474.602,517.78,527.812,537.587
474.775,463.659,464.823,479.392
474.949,483.374,580.254,508.885
475.122,531.993,517.708,578.984
475.296,473.186,500.471,539.277
475.47,502.67,461.317,502.726
475.643,490.693,510.81,529.139
475.817,449.305,483.256,545.712
475.99,477.461,521.345,553.42
476.164,529.238,532.363,521.357
476.337,501.413,519.43,512.883
476.511,468.841,526.052,451.186
476.684,474.657,547.927,548.326
476.858,506.167,485.837,530.2
477.032,492.565,516.086,531.407
477.205,489.91,518.985,541.072
477.379,501.657,530.309,518.911
477.552,527.957,514.935,515.329
477.726,480.259,470.147,492.036
477.899,459.268,514.547,537.096
478.073,507.821,499.625,496.095
478.246,505.899,539.29,513.775
478.42,478.076,564.534,536.802
478.594,470.653,516.921,521.109
478.767,492.683,538.434,566.291
478.941,495.566,503.33,575.64
479.114,521.514,539.247,527.747
479.288,517.75,510.176,530.347
479.461,545.993,489.948,535.39
479.635,468.903,538.825,553.822
479.808,545.227,524.788,518.15
479.982,537.582,573.489,562.43
480.155,500.34,499.062,550.59
480.329,511.202,543.278,546.999
480.503,503.455,551.231,522.654
480.676,519.497,502.198,509.179
480.85,507.328,547.063,530.004
481.023,513.768,572.968,561.629
481.197,487.439,494.927,550.885
481.37,518.282,577.773,545.438
481.544,464.47,500.625,507.925
481.717,534.856,575,561.262
481.891,596.295,595.026,568.603
482.064,481.576,557.139,505.082
482.238,539.044,533.701,562.847
482.411,516.301,460.383,556.327
482.585,514.905,568.775,585.991
482.758,552.571,588.978,559.875
482.932,555.195,544.411,527.487
483.106,478.719,549.119,501.739
483.279,553.203,579.727,501.815
483.453,492.542,517.836,512.013
483.626,510.124,524.529,548.971
483.8,536.209,535.456,518.522
483.973,530.39,544.274,579.674
484.147,526.189,602.75,539.854
484.32,519.341,533.554,580.99
484.494,542.409,563.982,589.716
484.667,567.163,517.139,574.56
484.841,575.657,510.386,577.425
485.014,520.049,533.895,555.245
485.188,525.429,553.048,606.225
485.361,540.437,604.084,608.723
485.535,531.514,597.681,548.494
485.708,561.934,565.095,594.016
485.882,596.242,574.884,584.493
486.055,545.245,549.164,572.26
486.229,592.543,609.402,574.183
486.402,566.555,558.752,611.668
486.576,517.23,587.772,616.858
486.749,556.564,576.68,562.024
486.923,546.585,616.9,621.863
487.096,562.745,589.365,586.025
487.27,528.252,595.351,593.231
487.443,532.203,596.304,594.607
487.617,580.49,596.387,616.534
487.79,571.795,643.149,649.211
487.964,569.401,589.801,611.216
488.137,533.249,592.7,620.895
488.311,642.004,589.537,600.217
488.484,614.454,672.424,666.404
488.658,601.486,634.622,641.706
488.831,604.925,637.713,591.586
489.005,603.194,629.697,658.762
489.178,602.054,626.266,664.896
489.352,613.091,646.624,659.128
489.525,595.316,659.606,640.749
489.699,645.788,609.624,663.579
489.872,599.407,651.063,681.053
490.046,628.705,659.509,663.761
490.219,655.503,635.604,718.736
490.393,606.546,658.449,661.467
490.566,641.068,693.569,648.044
490.74,625.749,706.881,702.178
490.913,655.784,698.388,661.951
491.087,646.227,708.52,745.448
491.26,674.441,690.15,713.658
491.434,679.849,696.377,731.42
491.607,729.209,782.497,765.831
491.781,709.915,760.311,746.42
491.954,695.932,738.509,744.556
492.128,713.702,754.385,770.842
492.301,693.028,745.152,740.144
492.475,752.953,805.457,767.144
492.648,700.55,726.85,743.238
492.822,724.046,786.744,789.671
492.995,711.263,745.281,752.213
493.169,731.9,854.614,798.475
493.342,749.905,782.414,760.745
493.515,782.688,802.006,825.573
493.689,758.087,817.092,761.462
493.862,799.463,843.117,795.813
494.036,755.248,777.624,781.935
494.209,764.064,799.099,793.147
494.383,799.722,816.593,834.378
494.556,784.102,853.567,823.2
494.73,807.868,855.48,832.024
494.903,787.652,849.713,855.543
495.077,773.077,830.498,833.673
495.25,730.038,841.556,834.933
495.424,874.174,878.276,825.212
495.597,845.095,882.409,911.96
495.771,844.115,849.288,897.691
495.944,853.382,911.84,903.487
496.118,868.746,894.805,956.242
496.291,879.949,897.857,941.739
496.464,874.504,908.546,888.261
496.638,846.108,928.53,904.335
496.811,894.675,946.662,949.098
496.985,857.496,958.459,939.078
497.158,923.385,978.438,991.928
497.332,868.77,967.407,963.795
497.505,911.534,974.709,949.13
497.679,936.84,1006.847,989.834
497.852,933.745,998.719,1001.824
498.026,918.013,977.857,992.899
498.199,942.432,1071.734,984.486
498.372,926.652,982.197,1029.499
498.546,912.994,1002.557,1006.667
498.719,966.141,1014.976,1036.838
498.893,936.248,1010.138,1064.715
499.066,994.694,1039.75,1025.161
499.24,964.05,1061.019,1029.352
499.413,940.848,1068.933,1102.836
499.587,986.964,1054.415,1050.948
499.76,1003.866,1067.792,1078.307
