wavelength,intensity1,intensity2,intensity3
429.445,560.464,566.189,577.406
429.619,575.961,603.86,664.088
429.793,595.294,576.119,642.758
429.967,799.025,849.872,790.14
430.141,733.243,727.143,741.941
430.314,737.784,818.426,739.504
430.488,679.19,669.767,714.477
430.662,708.556,647.681,640.71
430.836,747.942,707.377,677.399
431.009,698.066,736.638,572.446
431.183,729.138,765.335,697.191
431.357,742.237,768.704,709.687
431.531,918.48,779.539,805.623
431.705,873.615,751.454,821.058
431.878,835.039,741.766,715.611
432.052,932.093,872.031,956.534
432.226,914.335,920.01,910.161
432.4,876.882,851.099,829.808
432.573,934.147,860.422,849.288
432.747,912.589,953.918,974.276
432.921,903.481,736.745,904.998
433.095,954.467,911.976,950.594
433.269,927.57,977.685,954.995
433.442,1081.796,1007.51,1081.43
433.616,1099.866,1009.043,990.398
433.79,995.186,931.487,939.584
433.964,1010.425,936.15,966.786
434.137,1037.256,1018.142,1097.759
434.311,1143.667,1071.124,1155.866
434.485,1028.956,1112.316,1074.519
434.659,1124.979,1058.586,1144.903
434.832,1072.06,1169.871,1131.515
435.006,1125.807,1165.631,1109.154
435.18,1083.613,1153.066,1187.959
435.354,1227.54,1264.704,1302.546
435.527,1289.533,1201.862,1243.985
435.701,1219.909,1175.6,1252.76
435.875,1322.634,1272.296,1232.122
436.049,1267.012,1370.853,1280.106
436.223,1264.18,1250.524,1272.913
436.396,1363.757,1418.769,1366.244
436.57,1406.112,1315.054,1423.12
436.744,1412.746,1444.767,1459.118
436.918,1361.831,1356.265,1517.973
437.091,1397.749,1372.821,1384.55
437.265,1320.52,1477.485,1453.859
437.439,1595.497,1482.551,1474.901
437.613,1493.85,1447.638,1548.73
437.786,1539.825,1528.21,1493.188
437.96,1725.941,1638.787,1646.993
438.134,1662.454,1533.495,1535.866
438.308,1627.205,1574.028,1577.221
438.481,1542.175,1544.728,1601.471
438.655,1639.38,1604.245,1643.434
438.829,1616.531,1719.771,1683.284
439.002,1564.694,1571.248,1654.188
439.176,1700.295,1607.313,1723.636
439.35,1665.9,1661.754,1581.778
439.524,1675.6,1688.717,1739.295
439.697,1791.141,1711.361,1755.568
439.871,1798.526,1773.615,1740.175
440.045,1796.769,1770.292,1879.171
440.219,1932.396,1815.423,1861.229
440.392,1979.605,1920.233,1870.788
440.566,1954.709,1935.742,1904.194
440.74,1960.085,2044.843,1989.991
440.914,1929.63,1935.328,1940.789
441.087,1963.348,1915.537,1961.484
441.261,1948.491,1944.382,1969.36
441.435,2071.373,1986.262,1985.994
441.609,2119.45,2155.831,2086.856
441.782,2014.76,2023.483,2055.866
441.956,2074.062,2108.185,2118.247
442.13,2193.592,2196.006,2218.611
442.303,2135.185,2251.931,2304.374
442.477,2377.414,2377.375,2331.975
442.651,2213.311,2202.119,2252.053
442.825,2258.463,2251.365,2291.905
442.998,2276.671,2316.209,2394.282
443.172,2466.813,2390.106,2413.316
443.346,2520.33,2555.803,2548.095
443.52,2672.48,2674.123,2589.809
443.693,2583.099,2619.545,2622.585
443.867,2557.315,2616.164,2561.042
444.041,2805.267,2783.918,2628.729
444.214,2654.806,2601.083,2712.995
444.388,2803.722,2658.659,2728.516
444.562,2861.669,2874.797,2780.716
444.736,2745.873,2751.167,2757.763
444.909,2800.581,2841.422,2877.223
445.083,2811.253,2713.255,2768.014
445.257,2828.663,2712.244,2788.058
445.43,2948.672,2997.263,3083.273
445.604,2918.718,2779.844,2745.822
445.778,3108.852,3093.676,3044.803
445.952,3131.51,2939.567,2994.361
446.125,3023.723,3054.781,3065.145
446.299,3071.174,3004.129,3048.545
446.473,3064.252,3073.206,3057.227
446.646,3148.959,3064.396,3161.73
446.82,3094.784,3119.878,3222.422
446.994,3161.112,3130.939,3185.69
447.167,3124.814,3185.094,3262.496
447.341,3394.556,3200.452,3310.321
447.515,3416.007,3186.457,3328.976
447.689,3288.745,3361.021,3274.147
447.862,3427.95,3365.138,3345.457
448.036,3299.588,3253.561,3280.761
448.21,3310.616,3217.394,3338.734
448.383,3326.961,3374.926,3339.234
448.557,3223.981,3243.393,3262.596
448.731,3356.361,3276.269,3254.92
448.904,3509.698,3451.021,3401.78
449.078,3448.361,3319.385,3305.14
449.252,3287.257,3267.947,3239.149
449.426,3403.912,3418.222,3359.837
449.599,3489.266,3397.549,3577.686
