lambda,T_skim_2ml,T_half_full,T_full
500.484,78.403,0,0
500.655,78.419,0,0
500.827,78.401,0,0
500.999,78.388,0,0
501.17,78.485,0,0
501.342,78.47,0,0
501.514,78.605,0,0
501.685,78.588,0,0
501.857,78.663,0,0
502.029,78.675,0,0
502.2,78.726,0,0
502.372,78.913,0,0
502.544,79.075,0,0
502.715,79.261,0,0
502.887,79.301,0,0
503.059,79.341,0,0
503.23,79.305,0,0
503.402,79.288,0,0
503.574,79.306,0,0
503.745,79.256,0,0
503.917,79.318,0,0
504.089,79.252,0,0
504.261,79.069,0,0
504.432,79.021,0,0
504.604,79.077,0,0
504.776,78.988,0,0
504.947,78.923,0,0
505.119,78.914,0,0
505.291,78.972,0,0
505.462,79.065,0,0
505.634,79.128,0,0
505.806,79.168,0,0
505.978,79.223,0,0
506.149,79.362,0,0
506.321,79.57,0,0
506.493,79.731,0,0
506.664,79.656,0,0
506.836,79.641,0,0
507.008,79.61,0,0
507.18,79.635,0,0
507.351,79.544,0,0
507.523,79.554,0,0
507.695,79.5,0,0
507.867,79.525,0,0
508.038,79.552,0,0
508.21,79.48,0,0
508.382,79.55,0,0
508.554,79.633,0,0
508.725,79.741,0,0
508.897,79.794,0,0
509.069,79.892,0,0
509.24,80.015,0,0
509.412,80.127,0,0
509.584,80.323,0,0
509.756,80.347,0,0
509.927,80.497,0,0
510.099,80.524,0,0
510.271,80.671,0,0
510.443,80.757,0,0
510.614,80.792,0,0
510.786,80.716,0,0
510.958,80.611,0,0
511.13,80.541,0,0
511.302,80.583,0,0
511.473,80.539,0,0
511.645,80.572,0,0
511.817,80.586,0,0
511.989,80.638,0,0
512.16,80.672,0,0
512.332,80.715,0,0
512.504,80.741,0,0
512.676,80.745,0,0
512.848,80.792,0,0
513.019,80.721,0,0
513.191,80.634,0,0
513.363,80.597,0,0
513.535,80.62,0,0
513.706,80.609,0,0
513.878,80.458,0,0
514.05,80.457,0,0
514.222,80.484,0,0
514.394,80.395,0,0
514.565,80.6,0,0
514.737,80.708,0,0
514.909,80.727,0,0
515.081,80.808,0,0
515.253,80.966,0,0
515.424,81.202,0,0
515.596,81.374,0,0
515.768,81.53,0,0
515.94,81.712,0,0
516.112,81.93,0,0
516.283,82.177,0,0
516.455,82.294,0,0
516.627,82.355,0,0
516.799,82.379,0,0
516.971,82.353,0,0
517.143,82.312,0,0
517.314,82.171,0,0
517.486,82.068,0,0
517.658,81.96,0,0
517.83,81.783,0,0
518.002,81.708,0,0
518.174,81.73,0,0
518.345,81.708,0,0
518.517,81.664,0,0
518.689,81.893,0,0
518.861,81.898,0,0
519.033,81.939,0,0
519.205,81.975,0,0
519.376,82.153,0,0
519.548,82.355,0,0
519.72,82.463,0,0
519.892,82.57,0,0
520.064,82.782,0,0
520.236,82.918,0,0
520.407,82.977,0,0
